start_of_interval,end_of_interval,species,confidence
63, 66, Ichthyaetus melanocephalus_Mediterranean Gull, 0.010739853
63, 66, Ardenna grisea_Sooty Shearwater, 0.007500813
66, 69, Human vocal_Human vocal, 0.061643943
66, 69, Engine_Engine, 0.015135689
66, 69, Power tools_Power tools, 0.005728478
66, 69, Human non-vocal_Human non-vocal, 0.0055459416
66, 69, Empidonax hammondii_Hammond's Flycatcher, 0.005382571
69, 72, Human vocal_Human vocal, 0.016905963
69, 72, Melozone cabanisi_Cabanis's Ground-Sparrow, 0.013220452
69, 72, Oriolus oriolus_Eurasian Golden Oriole, 0.00901546
69, 72, Emberiza sahari_House Bunting, 0.008226001
69, 72, Grallaria ruficapilla_Chestnut-crowned Antpitta, 0.007573273
72, 75, Human vocal_Human vocal, 0.14737828
72, 75, Engine_Engine, 0.008565693
72, 75, Calonectris diomedea_Cory's Shearwater, 0.007759611
72, 75, Human non-vocal_Human non-vocal, 0.0056781615
72, 75, Psittacula krameri_Rose-ringed Parakeet, 0.004691859
75, 78, Engine_Engine, 0.08467215
75, 78, Human vocal_Human vocal, 0.06376067
75, 78, Ninox scutulata_Brown Boobook, 0.034741763
75, 78, Power tools_Power tools, 0.019899162
75, 78, Psilopogon haemacephalus_Coppersmith Barbet, 0.012530829
78, 81, Human vocal_Human vocal, 0.12564228
78, 81, Tadorna ferruginea_Ruddy Shelduck, 0.0131761525
78, 81, Engine_Engine, 0.010507126
78, 81, Human whistle_Human whistle, 0.0069719483
78, 81, Power tools_Power tools, 0.0050813337
81, 84, Human vocal_Human vocal, 0.07302609
81, 84, Myadestes occidentalis_Brown-backed Solitaire, 0.0109923845
81, 84, Myioborus pictus_Painted Redstart, 0.008449217
81, 84, Phylloscopus ibericus_Iberian Chiffchaff, 0.007257337
81, 84, Engine_Engine, 0.006443467
84, 87, Human vocal_Human vocal, 0.19269115
84, 87, Ptyonoprogne rupestris_Eurasian Crag-Martin, 0.0114936475
84, 87, Human whistle_Human whistle, 0.007080071
84, 87, Emberiza sahari_House Bunting, 0.0059189894
84, 87, Falco naumanni_Lesser Kestrel, 0.004110866
87, 90, Human vocal_Human vocal, 0.60139984
87, 90, Engine_Engine, 0.029233174
87, 90, Dog_Dog, 0.014395691
87, 90, Human whistle_Human whistle, 0.014217192
87, 90, Power tools_Power tools, 0.008955877
90, 93, Human vocal_Human vocal, 0.1224371
90, 93, Dog_Dog, 0.04690092
90, 93, Canis lupus_Gray Wolf, 0.022664182
90, 93, Asio clamator_Striped Owl, 0.0057467143
90, 93, Grallaria ruficapilla_Chestnut-crowned Antpitta, 0.005548667
93, 96, Amazona aestiva_Turquoise-fronted Parrot, 0.019410148
93, 96, Ortalis erythroptera_Rufous-headed Chachalaca, 0.014440318
93, 96, Aramides ypecaha_Giant Wood-Rail, 0.012994002
93, 96, Diopsittaca nobilis_Red-shouldered Macaw, 0.0122748595
93, 96, Penelope obscura_Dusky-legged Guan, 0.011338931
96, 99, Human vocal_Human vocal, 0.30634925
96, 99, Human whistle_Human whistle, 0.030252656
96, 99, Athene noctua_Little Owl, 0.02052983
96, 99, Herpetotheres cachinnans_Laughing Falcon, 0.014524273
96, 99, Engine_Engine, 0.009826742
99, 102, Human vocal_Human vocal, 0.48853734
99, 102, Engine_Engine, 0.01350351
99, 102, Tadorna ferruginea_Ruddy Shelduck, 0.0072397212
99, 102, Human non-vocal_Human non-vocal, 0.0032658658
99, 102, Ardenna grisea_Sooty Shearwater, 0.0029335273
102, 105, Human vocal_Human vocal, 0.14577565
102, 105, Engine_Engine, 0.014109408
102, 105, Fireworks_Fireworks, 0.0059628435
102, 105, Human non-vocal_Human non-vocal, 0.0056475746
102, 105, Human whistle_Human whistle, 0.0035306532
105, 108, Human vocal_Human vocal, 0.117735535
105, 108, Engine_Engine, 0.0206042
105, 108, Gun_Gun, 0.015406943
105, 108, Human whistle_Human whistle, 0.014853493
105, 108, Power tools_Power tools, 0.012918144
108, 111, Human vocal_Human vocal, 0.18799606
108, 111, Engine_Engine, 0.092545
108, 111, Power tools_Power tools, 0.0487409
108, 111, Gun_Gun, 0.027012534
108, 111, Phoenicurus fuliginosus_Plumbeous Redstart, 0.014406825
111, 114, Human vocal_Human vocal, 0.3083786
111, 114, Calonectris diomedea_Cory's Shearwater, 0.022073857
111, 114, Engine_Engine, 0.017419888
111, 114, Gracula indica_Southern Hill Myna, 0.008083883
111, 114, Human non-vocal_Human non-vocal, 0.007934199
114, 117, Human vocal_Human vocal, 0.120568395
114, 117, Monticola cinclorhyncha_Blue-capped Rock-Thrush, 0.04259945
114, 117, Icterus cayanensis_Epaulet Oriole, 0.024058793
114, 117, Turdus fuscater_Great Thrush, 0.014466468
114, 117, Human whistle_Human whistle, 0.013792653
117, 120, Hypergerus atriceps_Oriole Warbler, 0.3249318
